symbol,sector,reference_etf
AAPL.US,信息技术,XLK.US
ABBV.US,医疗保健,XLV.US
ABNB.US,可选消费,XLY.US
ACN.US,信息技术,XLK.US
ADBE.US,信息技术,XLK.US
AMAT.US,信息技术,XLK.US
AMD.US,信息技术,XLK.US
AMGN.US,医疗保健,XLV.US
AMZN.US,可选消费,XLY.US
ANET.US,信息技术,XLK.US
APO.US,金融,XLF.US
APP.US,信息技术,XLK.US
AVGO.US,信息技术,XLK.US
BA.US,工业,XLI.US
BAC.US,金融,XLF.US
BKNG.US,可选消费,XLY.US
BMY.US,医疗保健,XLV.US
BRK.B.US,金融,XLF.US
C.US,金融,XLF.US
CAT.US,工业,XLI.US
CEG.US,公用事业,XLU.US
CMCSA.US,通信服务,XLC.US
CMG.US,可选消费,XLY.US
CMI.US,工业,XLI.US
COF.US,金融,XLF.US
COIN.US,金融,XLF.US
COST.US,必选消费,XLP.US
CRM.US,信息技术,XLK.US
CRWD.US,信息技术,XLK.US
CSCO.US,信息技术,XLK.US
CVS.US,医疗保健,XLV.US
CVX.US,能源,XLE.US
DASH.US,可选消费,XLY.US
DDOG.US,信息技术,XLK.US
DELL.US,信息技术,XLK.US
DIS.US,通信服务,XLC.US
ELV.US,医疗保健,XLV.US
ETN.US,工业,XLI.US
F.US,可选消费,XLY.US
FCX.US,材料,XLB.US
FDX.US,工业,XLI.US
FSLR.US,信息技术,XLK.US
GE.US,工业,XLI.US
GEV.US,工业,XLI.US
GOOG.US,通信服务,XLC.US
GOOGL.US,通信服务,XLC.US
GS.US,金融,XLF.US
HD.US,可选消费,XLY.US
HON.US,工业,XLI.US
HOOD.US,金融,XLF.US
HUM.US,医疗保健,XLV.US
IBM.US,信息技术,XLK.US
INTC.US,信息技术,XLK.US
INTU.US,信息技术,XLK.US
ISRG.US,医疗保健,XLV.US
JNJ.US,医疗保健,XLV.US
JPM.US,金融,XLF.US
KKR.US,金融,XLF.US
KO.US,必选消费,XLP.US
LIN.US,材料,XLB.US
LLY.US,医疗保健,XLV.US
LRCX.US,信息技术,XLK.US
LULU.US,可选消费,XLY.US
MA.US,金融,XLF.US
MCD.US,可选消费,XLY.US
META.US,通信服务,XLC.US
MRK.US,医疗保健,XLV.US
MSFT.US,信息技术,XLK.US
MU.US,信息技术,XLK.US
NFLX.US,通信服务,XLC.US
NKE.US,可选消费,XLY.US
NOW.US,信息技术,XLK.US
NVDA.US,信息技术,XLK.US
ORCL.US,信息技术,XLK.US
PANW.US,信息技术,XLK.US
PEP.US,必选消费,XLP.US
PFE.US,医疗保健,XLV.US
PG.US,必选消费,XLP.US
PLTR.US,信息技术,XLK.US
PYPL.US,金融,XLF.US
QCOM.US,信息技术,XLK.US
SBUX.US,可选消费,XLY.US
SCHW.US,金融,XLF.US
SMCI.US,信息技术,XLK.US
SNDK.US,信息技术,XLK.US
SNPS.US,信息技术,XLK.US
T.US,通信服务,XLC.US
TGT.US,必选消费,XLP.US
TMO.US,医疗保健,XLV.US
TMUS.US,通信服务,XLC.US
TSLA.US,可选消费,XLY.US
TTD.US,通信服务,XLC.US
TXN.US,信息技术,XLK.US
UBER.US,工业,XLI.US
UNH.US,医疗保健,XLV.US
V.US,金融,XLF.US
VST.US,公用事业,XLU.US
VZ.US,通信服务,XLC.US
WBD.US,通信服务,XLC.US
WDAY.US,信息技术,XLK.US
WDC.US,信息技术,XLK.US
WFC.US,金融,XLF.US
WMT.US,必选消费,XLP.US
XOM.US,能源,XLE.US
XYZ.US,金融,XLF.US
